Commit URL,File Name,Category,Project Name,Project Types
https://github.com/alpaca-finance/alpaca-stablecoin/commit/88dee92f866f8c31ca229a71fdc52679750a83f2,ontracts/6.12/stablecoin-core/liquidation-strategies/FixedSpreadLiquidationStrategy.sol,Underflow/Overflow,Alpaca Stablecoin,CDP
https://github.com/alpaca-finance/alpaca-stablecoin/commit/6377a3416165781f0d7320a87cfe2811a03224e5,contracts/6.12/stablecoin-core/liquidation-strategies/FixedSpreadLiquidationStrategy.sol,Reentrancy,Alpaca Stablecoin,CDP
https://github.com/ampleforth/ampleforth-contracts/commit/7f2d468f7303dfca11db9e516142f2a0000885c3,contracts/UFragments.sol,Underflow/Overflow,Ampleforth,services
https://github.com/argentlabs/argent-contracts/commit/fcb56d430dd9b74138ef0004eca391f5c40cf6c1,contracts/modules/common/TokenPriceProvider.sol,Underflow/Overflow,Argent,wallet
https://github.com/argentlabs/argent-contracts/commit/2bcfe82b26cbcd287efe66d413cf13378678fb5f,contracts/modules/maker/MakerV2Loan.sol,Reentrancy,Argent,wallet
https://github.com/AugurProject/augur-core/commit/9f1dff79301d3697001d13164aa23fead5f32e34,source/contracts/reporting/FeeWindow.sol,Underflow/Overflow,Augur,Prediction Market
https://github.com/AugurProject/augur-core/commit/337967b9973b93aab9671fc997c55f5a57dff9d5,source/contracts/reporting/Market.sol,Unchecked Call Return Value,Augur,Prediction Market
https://github.com/blockmason/credit-protocol/commit/7b6788b230fe5fc9e7dea891a5a1acf0800bfe01,contracts/FriendData.sol,Underflow/Overflow,Credit Protocol,services
https://github.com/bnb-chain/bsc-genesis-contract/commit/8232f4245e6b0e2a3d13b644d599dad9d1d64a07,contracts/RelayerHub.sol,Underflow/Overflow,BNB Smart Chain,services
https://github.com/bnb-chain/bsc-genesis-contract/commit/befb3f17f98a826118203f874aa93e81e57d4128,contracts/lib/RLPDecode.sol,Underflow/Overflow,BNB Smart Chain,services
https://github.com/Computable-Finance/CoFiX/commit/68517379fbb1f16b300bf0f20be018490716898b,contracts/CoFiXVaultForLP.sol,Reentrancy,CoFiX,Dexes
https://github.com/convergentcx/milky-way/commit/bfc4f156595eef76158eb89b085e7d9827dfe914,contracts/EthBondingCurveToken.sol,Underflow/Overflow,Arc,services
https://github.com/crytic/not-so-smart-contracts/commit/3f1e2b153e24c8140cca18580a1b76710616deb7,reentrancy/ReentrancyExploit.sol,Unchecked Call Return Value,/,others
https://github.com/Dawn-Protocol/dawn-erc20-erc777/commit/7fcf7fa9caa16f74cf826951ce6920310e6f13fc,contracts/Recoverable.sol,Unchecked Call Return Value,Dawn,Gaming
https://github.com/DeFiOptions/DeFiOptions-core/commit/3519ec3177ac0ece687e70aaebc9c82339db163b,contracts/governance/GovToken.sol,Underflow/Overflow,DeFi options ,Options
https://github.com/DODOEX/contractV2/commit/f81e5481f869d516ebd3baabcc834925d8033538,contracts/lib/DODOMath.sol,Underflow/Overflow,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/6ecf34e1e173855157b9342495d931bbbf04c3d9,contracts/SmartRoute/DODOIncentive.sol,Underflow/Overflow,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/805f639c3a8763e16062b9cfc69921b10f5cfebf,contracts/CollateralVault/impl/NFTCollateralVault.sol,Unchecked Call Return Value,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/e810adaffe4d48348a2dbd7ce60381674a0a55ea,contracts/SmartRoute/proxies/DODONFTPoolProxy.sol,Unprotected Ether Withdrawal,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/fc39f709f2ae94b8f738abd6254dcf538bb7dbec,contracts/SmartRoute/DODOV2Proxy01.sol,Unprotected Ether Withdrawal,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/11814c230dad6df3babad981fef7ba2e9a67dc9f,contracts/external/ERC1155/InitializableERC1155.sol,Unprotected Ether Withdrawal,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/01c544780291a5acc3e2be4980493e63065fb200,contracts/DODOVendingMachine/impl/DVM.sol,Unprotected Ether Withdrawal,DODOEX V2,Dexes
https://github.com/DODOEX/contractV2/commit/267ad24edc1e5dbda5ca89905502934ded05b23b,contracts/SmartRoute/DODOV2Proxy01.sol,Reentrancy,DODOEX V2,Dexes
https://github.com/element-fi/council/commit/42e4d9cc9429ec4254734e0feefbb12d21660d8d,contracts/CoreVoting.sol,Unchecked Call Return Value,Council,Governance
https://github.com/element-fi/council/commit/7d01b7de58569109755b84af38524884fe68a1c8,contracts/features/Treasury.sol,Unchecked Call Return Value,Council,Governance
https://github.com/erasureprotocol/NMR/commit/4f5796bdc8cf2d1a9ee1a59502e6ec4acfca9aae,contracts/NumeraireDelegate.sol,Underflow/Overflow,Numeraire,Staking
https://github.com/ETHLend/ICO_SmartContract/commit/c5baf85b8290c216e719eecfe07579e92a37d825,contracts/EthLendICO.sol,Underflow/Overflow,/,others
